1.000000e+00 8.811294e-19
8.441211e-01 1.488411e-01
5.369669e-01 1.954400e-01
3.711543e-01 2.142857e-01
4.377394e-01 3.673074e-01
5.509611e-01 6.566091e-01
5.000000e-01 8.660251e-01
2.931600e-01 8.054503e-01
9.922754e-02 5.627474e-01
2.271788e-17 4.285714e-01
-9.922754e-02 5.627474e-01
-2.931600e-01 8.054503e-01
-5.000000e-01 8.660251e-01
-5.509611e-01 6.566091e-01
-4.377394e-01 3.673074e-01
-3.711543e-01 2.142857e-01
-5.369669e-01 1.954400e-01
-8.441211e-01 1.488411e-01
-1.000000e+00 1.233463e-16
-8.441211e-01 -1.488411e-01
-5.369669e-01 -1.954400e-01
-3.711543e-01 -2.142857e-01
-4.377394e-01 -3.673074e-01
-5.509611e-01 -6.566091e-01
-5.000000e-01 -8.660251e-01
-2.931600e-01 -8.054503e-01
-9.922754e-02 -5.627474e-01
-8.225183e-17 -4.285714e-01
9.922754e-02 -5.627474e-01
2.931600e-01 -8.054503e-01
5.000000e-01 -8.660251e-01
5.509611e-01 -6.566091e-01
4.377394e-01 -3.673074e-01
3.711543e-01 -2.142857e-01
5.369669e-01 -1.954400e-01
8.441211e-01 -1.488411e-01
